channelGrouping,date,visitNumber,month,year,visitHour,browser,operatingSystem,isMobile,deviceCategory,continent,subContinent,country,region,metro,city,networkDomain,hits,pageviews,bounces,newVisits,campaign,source,medium,keyword,transactionRevenue
3,2016-09-02,1,9,2016,21,5,8,0,0,3,19,121,30,0,39,1123,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,10,8,5,0,0,5,1,5,77,21,101,339,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,6,5,8,0,0,4,17,110,12,0,51,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,11,20,4,0,0,3,14,51,77,21,101,1165,1,1.0,1,1,0,19,4,44,0
3,2016-09-02,2,9,2016,18,5,1,1,1,4,12,126,77,21,101,1165,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,14,5,8,0,0,4,17,55,77,21,101,397,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,17,5,8,0,0,3,16,88,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,5,1,5,57,0,13,160,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,9,8,0,0,4,20,6,77,21,101,980,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,8,8,0,0,4,20,81,77,21,101,227,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,2,3,16,50,77,21,101,54,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,2,18,5,0,0,4,20,38,77,21,101,1235,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,23,18,11,1,1,3,19,121,30,0,39,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,18,11,1,1,3,16,88,61,0,42,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,7,5,4,0,0,2,13,15,77,21,101,203,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,5,0,0,3,6,22,77,21,101,1165,1,1.0,1,1,0,7,4,16,0
3,2016-09-02,1,9,2016,12,5,8,0,0,4,20,81,77,21,101,500,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,9,8,0,0,4,20,38,27,0,68,710,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,8,0,0,3,14,104,0,0,88,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,4,5,8,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,8,0,0,4,7,94,77,21,101,1111,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,6,5,1,1,1,4,20,41,0,0,0,609,1,1.0,1,1,0,7,4,16,0
3,2016-09-02,1,9,2016,8,18,11,1,1,2,11,19,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,5,5,0,0,3,14,117,3,0,6,94,1,1.0,1,1,0,19,4,4,0
